id,offerer,recipient,price,transactionHash,blockTimestamp,price_eth
0x00001edd792e5e5078720c35c811fbdd9898c49169ba4ad7b1b7fbce38591670-273,0x6140f00e4ff3936702e68744f2b5978885464cbb,0x1af331dc34dd7c5c62af28b5685328318b61888a,3.624e+18,0x00001edd792e5e5078720c35c811fbdd9898c49169ba4ad7b1b7fbce38591670,2022-11-29 10:53:11,3.624
0x000020fd74ccd7b670e376bb70c9166965a8d0808e00c9dab9847063ed3261d1-42,0x1f2934689d41ed6c0807516d238817b411d74cfc,0x3f25589561a9a96653c7a2b3cf80fa42ec01ba0a,1.33182e+16,0x000020fd74ccd7b670e376bb70c9166965a8d0808e00c9dab9847063ed3261d1,2022-10-23 03:15:47,0.0133182
0x0000240fed413439b75f502ba431abd4f39cc794f3aa960829cec2f5e9197aa8-97,0x885e9b9d4602efa050e3f7fae121e64c086e635f,0xbe8ab031bb6bf050c3b4674a44b0b024e28ed724,9652500000000000.0,0x0000240fed413439b75f502ba431abd4f39cc794f3aa960829cec2f5e9197aa8,2023-02-14 15:22:11,0.0096525
0x0000240fed413439b75f502ba431abd4f39cc794f3aa960829cec2f5e9197aa8-98,0x885e9b9d4602efa050e3f7fae121e64c086e635f,0xbe8ab031bb6bf050c3b4674a44b0b024e28ed724,9652500000000000.0,0x0000240fed413439b75f502ba431abd4f39cc794f3aa960829cec2f5e9197aa8,2023-02-14 15:22:11,0.0096525
0x000026fb050e1b96046119a09ec0bb70b8b13cc9cf770b8c88fed292f5cad3e8-639,0x2ac5797eb8b8203bf3a9963b5878c66afa57ba07,0x95e970b3146d40c52665a0fed5a8e121bf1a5fb1,3.6e+16,0x000026fb050e1b96046119a09ec0bb70b8b13cc9cf770b8c88fed292f5cad3e8,2022-07-15 13:42:38,0.036
0x000029ca53047c38d64732afa0706a2a60215c8198dc3343cc1fbb958f7d1b32-185,0xc252209bfd3b874b64727d51f932054f8dba68b4,0x814d60499bd401eca426c86ee9b4167967dff8dd,1925000000000000.0,0x000029ca53047c38d64732afa0706a2a60215c8198dc3343cc1fbb958f7d1b32,2022-08-28 07:33:29,0.001925
0x00002a13d860ce3293070c23805e570dce1f6976051ac38be713dc729f5c273d-453,0x533ec09abfa6d06a94c591fb2dc67630f3eccd06,0x846f5857dd0cbb71fdfd912ab513385d23966816,1.3887e+16,0x00002a13d860ce3293070c23805e570dce1f6976051ac38be713dc729f5c273d,2023-02-14 00:02:11,0.013887
0x00002a7856d45cefc0f982a117dc0d3b26cc84321f3c68fc90dea604b231c70b-336,0xe2e27a15fb94ed732fe840d200b1afba336d0130,0xc697e440c036eeef5f3a0737e7d3cd087324500a,2.65104075e+17,0x00002a7856d45cefc0f982a117dc0d3b26cc84321f3c68fc90dea604b231c70b,2023-01-08 22:53:59,0.265104075
0x00002dcc398583057e99182766887afac25b08a079044c5ece36e5768204f3db-336,0x270c943a37a8a6bc2845a846e33e24ea0c96abd0,0xae8ef61206dfdc6a1ef4f7f8be91f8bdf205a723,823250000000000.0,0x00002dcc398583057e99182766887afac25b08a079044c5ece36e5768204f3db,2022-09-16 09:37:35,0.00082325
0x00002ef004bfb47597d2500e6f3f6f8068c02b19b90e578e7f9a1048bebbde45-259,0x3fa8a3bab9203a41302f3a119869422397bede59,0x3ae682b484f92b0752997a688ed0ef29e6ebd132,3.6e+16,0x00002ef004bfb47597d2500e6f3f6f8068c02b19b90e578e7f9a1048bebbde45,2023-01-14 00:58:11,0.036
0x00002f49930d05177ac57c21894ea9b1a20b5724da5334a54ffbf4ab087e4112-181,0x0701fa275c62d7bc5a8480990391971a4c679e54,0xdc26db549e195aada8c967bab517ddfd049d152c,2.22e+17,0x00002f49930d05177ac57c21894ea9b1a20b5724da5334a54ffbf4ab087e4112,2022-07-25 09:35:05,0.222
0x00003305ab5b7b114f10f8d8f6fe8a8f0aaa8758e3033a2ccfb24a3dfe7fe117-68,0x534d4e798b2644266e4c431545925aeb2ce764bb,0xdd27c842d415da1ea952524745b98251b00e0fb9,7.35e+16,0x00003305ab5b7b114f10f8d8f6fe8a8f0aaa8758e3033a2ccfb24a3dfe7fe117,2023-01-06 21:01:59,0.0735
0x0000399353cb727ac601aacae66f6d708fdc293b30602b0d4a5f3cdd85833937-346,0x8118547d2f70f36e86c92aeba3c3fac4518d313c,0x32c27b4c0dfdee4a58be9b7733e1eee9a6275282,1.2087e+17,0x0000399353cb727ac601aacae66f6d708fdc293b30602b0d4a5f3cdd85833937,2022-10-08 15:10:47,0.12087
0x000039fa70806d51eabf3a10c520f24e71c380121e784f65dadd05c1e31c9056-60,0x0e0e3af1144f0cd4cb5fc208719fe4382f1e17b6,0xe95bc7ce8b9dad12eb427c8d486f47800b0b0024,6.29e+16,0x000039fa70806d51eabf3a10c520f24e71c380121e784f65dadd05c1e31c9056,2022-10-06 02:12:59,0.0629
